0
{'IdSession': 813062, 'IdPSX': 0, 'IdSubscriber': 86848, 'StartSession': '31/07/2024 16:53:34', 'EndSession': '', 'Duration': 30897, 'UpTx': 8693413275, 'DownTx': 9546692937}
{'IdSession': 239942, 'IdPSX': 1, 'IdSubscriber': 86848, 'StartSession': '04-12-2024 22:32:31', 'EndSession': '05-12-2024 22:03:02', 'Duration': 84631, 'UpTx': 673075143, 'DownTx': 517564818}
{'IdSession': 22247, 'IdPSX': 3, 'IdSubscriber': 86848, 'StartSession': '06/13/2024 01:49:05', 'EndSession': '06/13/2024 20:29:05', 'Duration': 67200, 'UpTx': 609213047, 'DownTx': 834017450}
{'IdSession': 137088, 'IdPSX': 0, 'IdSubscriber': 86848, 'StartSession': '09/08/2024 02:41:18', 'EndSession': '', 'Duration': 80376, 'UpTx': 840326729, 'DownTx': 4803472823}
{'IdSession': 927363, 'IdPSX': 0, 'IdSubscriber': 86848, 'StartSession': '07/08/2024 20:36:11', 'EndSession': '', 'Duration': 16629, 'UpTx': 1519275459, 'DownTx': 8676885326}
{'IdSession': 94088, 'IdPSX': 2, 'IdSubscriber': 35556, 'StartSession': '2024-07-04 16:07:18', 'EndSession': '2024-07-05 02:58:54', 'Duration': 39096, 'UpTx': 982629259097, 'DownTx': 839485783267}
{'IdSession': 903165, 'IdPSX': 0, 'IdSubscriber': 35556, 'StartSession': '14/07/2024 04:07:05', 'EndSession': '', 'Duration': 19775, 'UpTx': 7756930563, 'DownTx': 7835629572}
{'IdSession': 46801, 'IdPSX': 2, 'IdSubscriber': 35556, 'StartSession': '2024-11-19 07:18:41', 'EndSession': '2024-11-19 23:16:06', 'Duration': 57445, 'UpTx': 9510877178, 'DownTx': 1608637740}
{'IdSession': 350700, 'IdPSX': 0, 'IdSubscriber': 35556, 'StartSession': '08/05/2024 00:03:48', 'EndSession': '08/05/2024 22:15:26', 'Duration': 79898, 'UpTx': 4164647916, 'DownTx': 9609599561}
{'IdSession': 820485, 'IdPSX': 3, 'IdSubscriber': 35556, 'StartSession': '05/07/2024 21:53:16', 'EndSession': '05/08/2024 12:08:13', 'Duration': 51297, 'UpTx': 815450627, 'DownTx': 529269611}
{'IdSession': 378811, 'IdPSX': 3, 'IdSubscriber': 40072, 'StartSession': '09/22/2024 20:04:10', 'EndSession': '09/23/2024 00:46:29', 'Duration': 16939, 'UpTx': 847216463, 'DownTx': 460199615}
{'IdSession': 634362, 'IdPSX': 0, 'IdSubscriber': 40072, 'StartSession': '22/09/2024 00:18:04', 'EndSession': '22/09/2024 10:38:49', 'Duration': 37245, 'UpTx': 564107475, 'DownTx': 6866764761}
{'IdSession': 427687, 'IdPSX': 0, 'IdSubscriber': 40072, 'StartSession': '05/11/2024 02:22:48', 'EndSession': '', 'Duration': 6158, 'UpTx': 4280621863, 'DownTx': 5429741310}
