0
{'IdSession': 632016, 'IdPSX': 1, 'IdSubscriber': 12506, 'StartSession': '01-01-2025 11:38:00', 'EndSession': '01-01-2025 13:41:58', 'Duration': 7438, 'UpTx': 274124884, 'DownTx': 885083153}
{'IdSession': 193668, 'IdPSX': 0, 'IdSubscriber': 12506, 'StartSession': '15/08/2024 17:21:49', 'EndSession': '16/08/2024 09:27:09', 'Duration': 57920, 'UpTx': 3799509341, 'DownTx': 9334885800}
{'IdSession': 415845, 'IdPSX': 1, 'IdSubscriber': 12506, 'StartSession': '21-10-2024 03:01:20', 'EndSession': '21-10-2024 13:19:35', 'Duration': 37095, 'UpTx': 790049843, 'DownTx': 222400085}
{'IdSession': 355284, 'IdPSX': 1, 'IdSubscriber': 12506, 'StartSession': '23-11-2024 22:20:35', 'EndSession': '24-11-2024 10:10:00', 'Duration': 42565, 'UpTx': 907411311, 'DownTx': 644994338}
{'IdSession': 166781, 'IdPSX': 3, 'IdSubscriber': 12506, 'StartSession': '12/21/2024 10:13:25', 'EndSession': '', 'Duration': 81683, 'UpTx': 827088133, 'DownTx': 166208920}
{'IdSession': 93870, 'IdPSX': 3, 'IdSubscriber': 12506, 'StartSession': '02/09/2025 11:54:51', 'EndSession': '', 'Duration': 66426, 'UpTx': 37861433593, 'DownTx': 87843420909}
{'IdSession': 940235, 'IdPSX': 2, 'IdSubscriber': 12506, 'StartSession': '2024-10-26 00:10:51', 'EndSession': '2024-10-26 22:57:12', 'Duration': 81981, 'UpTx': 5386439334, 'DownTx': 7151614376}
{'IdSession': 972075, 'IdPSX': 2, 'IdSubscriber': 12506, 'StartSession': '2024-07-05 15:15:24', 'EndSession': '', 'Duration': 80536, 'UpTx': 2743779420, 'DownTx': 9376941622}
{'IdSession': 691066, 'IdPSX': 3, 'IdSubscriber': 45649, 'StartSession': '08/27/2024 12:51:40', 'EndSession': '08/28/2024 10:59:41', 'Duration': 79681, 'UpTx': 338637422, 'DownTx': 640400842}
{'IdSession': 770752, 'IdPSX': 3, 'IdSubscriber': 45649, 'StartSession': '06/18/2024 10:24:16', 'EndSession': '', 'Duration': 48577, 'UpTx': 373397530, 'DownTx': 524204450}
{'IdSession': 855125, 'IdPSX': 2, 'IdSubscriber': 45649, 'StartSession': '2024-08-27 23:23:09', 'EndSession': '2024-08-28 09:33:11', 'Duration': 36602, 'UpTx': 8437247768, 'DownTx': 9270875728}
