IdClient,IdOnPSX,Status
317cf991-00ff-4a9a-a1f6-d4bd24b67baa,86848,ON
99474fef-8d5f-433f-90fd-d7974926165c,35556,ON
a9fe87af-b542-4b45-8360-b0715f7cb700,40072,ON
4f841f68-852c-4ab8-a8b4-59451bada88c,66076,ON
ab9ad45f-a605-41ec-9017-5d962d7a43d8,86782,ON
054b4f5a-4fb4-4377-9d5c-383a579b5639,31141,ON
f4f2c70d-e2f1-44dc-a70b-daa9ddbc9d30,2567,ON
c07bc70c-e93a-4879-bae8-8562b8320449,80309,ON
82c555d9-6209-4128-a23a-6fec686d9c2f,83953,ON
4fb67664-84e4-4869-a61c-15a243a689e6,95499,ON
e36590cf-8f06-4eb7-a29b-a0d524d48860,68306,ON
94d92b63-f004-4242-90ea-64def5812442,14359,ON
1b161f91-f756-45cf-b597-c4b29f5fc1bb,16861,ON
1c3cd5da-88fe-46b8-9caf-480e0f08bb4f,5019,ON
afee4450-f2fd-4271-bf44-72da00bfbd9e,98260,ON
2d1f4813-92f4-485d-a00c-d6e46d52bbbb,59312,ON
478ff409-ea72-4d47-b212-0f30a32956b1,84913,ON
a773f9d9-772c-464e-8e43-53c775040191,95524,ON
e046d024-f1d4-4181-9653-9c23d0101b67,73912,ON
938b6a12-cdd3-44e6-a220-38963b553f43,2748,ON
7de52a92-9254-48e3-8fc4-eaced0480dce,96433,ON
c7d5a123-a3ac-4851-b044-d823f864e555,74192,ON
8384046f-13e6-405b-86f1-c05e76a2da53,64965,ON
fa02bb0d-7c65-44fd-ba4d-579da4d51325,55946,ON
6b7b832c-ea88-49e6-8fa7-7309369c04c7,50919,ON
a88e2157-0904-43f1-8c6d-504e27cbfc2f,63978,ON
a79853af-e55d-4ba3-b5e7-ad32341df11d,70161,ON
b2c21740-0450-4b8a-beaa-fdfdffc7af15,40969,ON
6067ac23-7101-49fc-a6d5-d7d025b5fe1a,45504,ON
2ed33306-40c4-4674-8a6f-8522661cfa38,28012,ON
b189ab04-db83-4128-9714-9c0e7105dd0c,26960,ON
75837200-300f-4924-81ad-c0fc956b17c3,39043,ON
28f68889-7efa-470c-8063-8baf194b316b,84615,ON
1a50c780-6c51-49b3-9f55-a4ab0eac5ff6,86280,ON
509bbbe2-6944-4df4-9352-638b52d80463,26058,ON
3bc8be15-e11e-459c-bdac-48d0197545fa,96568,ON
abf1a7fc-5485-4951-9311-ec000899ca77,32772,ON
549a7e2b-483c-4553-9b92-991c213768a2,46959,ON
fe1cab40-80da-413a-be4f-be54463f56ed,89890,ON
b4c95471-b47a-4128-9f5a-4c6c0dbc9b38,61290,ON
939014f9-b5fe-4560-b605-50bdb5239c3b,68153,ON
99958937-b49e-4629-b3cc-670b28f5c193,39950,ON
b7bab9c3-7665-4eeb-aa62-fb32d94c95c8,29718,ON
a84b7a99-a750-4ded-8e58-0e3243a9df56,60714,ON
8936fc00-375e-412d-9a20-ceceafb4acdd,6163,ON
e87a8c68-2de2-4d19-8103-9da87f70cce2,10146,ON
3a7b4514-db43-4f3e-9ba9-30b8b590f685,89979,ON
bad95c9e-41f7-4ad9-9af3-33b09e5a4b94,10640,ON
7271538f-2bbe-4a08-b411-b1057923c3c9,67511,ON
1d1993d9-79a3-4bf1-a519-fe4d88142b46,90573,ON
66b798e0-82a4-4fdf-9ccc-01433dc3333e,7015,ON
b3b0c22d-3e68-4807-8e5f-c0fbe04212c7,27110,ON
72dd3f01-4fd8-4fce-afd1-0fead53144e3,26924,ON
59df7d8d-06fe-40bc-86d5-6cf818808484,98194,ON
0a2a62fa-b7c6-44ef-a1d3-648f60dd3647,53262,ON
d3753e7b-f6a0-4f43-b790-0d6446596f30,11945,ON
cfef362a-67a0-4e12-9647-8cb522f861de,27818,ON
dd01db14-4c6d-404b-adae-10505247b680,52340,ON
901a9f9b-65c7-43fe-9763-9ac1a16198be,28860,ON
1287a567-a346-415c-a8c6-ead612b865a0,64020,ON
dfc9fd24-79ca-4a4a-b126-156659197a93,93472,ON
9639f9fc-d571-4fda-bf81-739d087674a5,43752,ON
da1ead53-3f9c-4f02-aa7d-0a2eb6260f0e,4151,ON
c5c29c30-cbf1-4c68-8ce0-76393ec25786,56257,ON
5ebe1ac8-a06e-4d81-b00a-9a1b53b399f4,3878,ON
93de0b3d-3cf5-4f4a-ab44-8253b531f136,42007,ON
a7e77974-52e1-4d95-b7c0-5b68d11f4b70,8884,ON
d321fbf7-48cb-4c34-bda1-a797c2639299,29926,ON
4b7bff9e-96c1-4889-a299-8bc073043874,32893,ON
25f879cb-97be-4839-bd09-9d69577f8444,95575,ON
a428d5e7-82e1-419b-99e9-c328c0713989,50025,ON
8c43f288-084c-4479-81fb-fe7636ba917a,13781,ON
1cf189c8-83ef-40b4-9ad3-2e52706fccfb,15765,ON
39f37bf2-d3fc-4bdb-876c-e68cd7c4d76e,52785,ON
c7542f4e-bf8a-4166-8a96-68d9e6bc7f1e,31973,ON
f3cede0d-86ad-4ab2-b0f9-976f0757f875,96303,ON
01fe027a-1a23-441d-9ae8-d18973ab46b5,87543,ON
424990b9-b6d1-45b5-b99e-ca3c72bf37e1,63728,ON
0498da23-70c6-4159-9ef6-dcae55632e0d,73925,ON
b2869598-0494-4e66-8cb5-0f7f85418837,99911,ON
e98dfc3e-05cf-4039-9a49-b35fd4add571,38701,ON
198d9a6a-5967-4b05-915b-49987c71dad1,47383,OFF
ad1328ae-e0a2-4dd6-bbc6-f40d3a65dbc3,90186,ON
7225d02c-ea89-4907-a15e-1eb1086402cf,60112,ON
c246858b-2a21-4bcc-a295-5530700a3275,82943,ON
d5ef26dc-0d45-42d5-879f-b2e5e7f3ec75,31798,ON
bbca0369-6a77-4022-8ced-7b17194c76af,55067,ON
a17e8aba-63bd-4373-9875-6fb5949cfb62,23016,ON
5ce0b958-ef0c-4137-8cf6-e18e0ac7000c,47031,ON
e25f867d-ced8-4814-b487-64517adc75fa,32605,ON
83918eb5-d2df-4e67-8cea-586fc09be73a,2681,ON
87718e2f-4612-4b4f-9650-b995a696ae2d,33114,ON
1ba8ab16-daf4-4fcb-bb5c-b47c94588aed,36047,ON
68faf2a5-4476-4732-b38e-11989794cfc2,87785,ON
3c670dc4-cac2-4e7b-8ef8-e9d3435fb476,86222,ON
0a93f4da-5fe1-4573-8cae-8651942f2107,17470,ON
ae6573a3-76cc-45bd-8cf2-85222ac992a5,57751,ON
6aa0fa88-1aa3-44c7-bba5-5b263ffd8f63,1488,ON
0115bb9f-5b59-4e5f-b6a7-ee585d2a2933,23127,ON
01cadd89-dd8d-484b-85b3-87290afb9d7f,58736,ON
a5a5b4ab-152b-4ce4-955e-4ad7bdfbf6ff,31969,ON
dd95aa8b-4299-4627-9380-f3c77c9827ef,25451,ON
191f50e8-b447-484b-8854-bc97bf70db5e,17826,ON
7533a512-871a-4527-a2cf-1d72cc602cb7,53619,ON
a8171fff-0c83-4a90-973e-54559567edb0,81866,ON
692be1b9-d992-4218-b54e-cef1b36c3f62,80805,ON
3d35155e-c381-47e8-b1a2-e579415fc35f,18117,ON
c3baaa4f-e0a5-4b52-ad0e-e3699487f07c,60020,ON
3355742b-6408-408e-8d9f-43d43de0e769,18689,ON
2d1d6b2f-f587-4121-862c-26b1a85ba3bd,84443,ON
5e6b7884-ecf3-460e-b54f-cbc2856c48a7,68837,ON
dca49f17-fa76-4627-8231-e9bcddde9c80,61815,ON
864a61fe-f5ec-4a8d-9e89-8a57e6ca3a68,4414,ON
b431fa51-5a7a-4f8c-90a0-5ee9e9a061d4,18046,ON
39932722-4959-4415-b3b4-5c1f38b64f11,25174,ON
79b3ce3f-dd6c-4653-8dc4-b08d00c79307,80200,OFF
6d0a9720-3392-4381-b3db-86534011f246,40639,ON
de2658da-8b87-4050-96e0-bb067ae7ae96,98651,ON
7b9213d7-9e9a-4f37-b29d-54e86f4bd713,2846,ON
c3c70f31-02a8-4f2d-823c-28724f5234fc,3130,ON
a29df8bd-e950-4366-bede-bd192f82b7c7,77998,ON
3e794156-d001-488b-bbed-73408a8dbbe6,94830,ON
f8974bfb-2331-4191-bf81-cff7e24c2539,65124,ON
23ce4e62-1cc7-43e3-af44-c3fde303d153,44292,ON
04a05cef-357a-4bfe-8ad7-f5c452122a15,11655,ON
92b10168-c7cc-4ff6-b571-4f9fac8f7cd9,10141,ON
2f6d26ef-0c74-4731-bb65-079a7078d16f,1483,ON
34aa622a-05bb-4197-bcf0-9501e45f9b88,25434,ON
bb362505-1299-4952-ba7b-6f88ecfb386b,75521,OFF
361dd9b4-d006-4f9c-a40a-21a16b5368af,32074,ON
9cb23cfe-72da-4d8f-8d4d-f6b2184c1dc7,80348,ON
041a6100-170f-42ed-aebd-b2a6852a3991,83625,OFF
0868616b-dad2-4bb9-a034-eae9eba57824,93122,OFF
bd7697f7-977c-4aa4-a125-91cf7fcd0194,35667,ON
e9e99567-b696-4812-bfc0-812eb3dc27d8,2480,ON
fdfd2394-0e0d-4d30-9dd5-61a5b72b576c,76335,ON
89611934-51ee-495c-afcb-9dda7c47363c,76409,ON
06b50161-95e3-4526-b62d-bfc7cd2b521c,55114,ON
1911ffe7-513b-46a2-b284-50fd264e57a0,47133,ON
015f6a14-79e3-444d-9534-174149c2d0af,55787,ON
